stamp, x, y, theta
 1.67789e+09,34.745, -2.66981, 3.02534
 1.67789e+09,34.2446, -2.63797, 3.03534
 1.67789e+09,33.7582, -2.59543, 3.05673
 1.67789e+09,33.2759, -2.60133, 3.10442
 1.67789e+09,32.7762, -2.56241, 3.05085
 1.67789e+09,32.2782, -2.52995, 3.07841
 1.67789e+09,31.7634, -2.49903, 3.05591
 1.67789e+09,31.2349, -2.45094, 3.07276
 1.67789e+09,30.7227, -2.42508, 3.09019
 1.67789e+09,30.2563, -2.39707, 3.08767
 1.67789e+09,29.7493, -2.36234, 3.0388
 1.67789e+09,29.2489, -2.3336, 3.0586
 1.67789e+09,28.7484, -2.29376, 3.07714
 1.67789e+09,28.2529, -2.26459, 3.07127
 1.67789e+09,27.7542, -2.20571, 3.03509
 1.67789e+09,27.272, -2.14366, 3.04708
 1.67789e+09,26.7719, -2.11146, 3.07901
 1.67789e+09,26.2806, -2.04312, 3.05814
 1.67789e+09,25.7898, -1.9764, 3.03554
 1.67789e+09,25.2763, -1.90508, 3.04099
 1.67789e+09,24.7783, -1.84485, 3.09056
 1.67789e+09,24.2667, -1.78698, 3.07407
 1.67789e+09,23.7514, -1.72331, 3.00344
 1.67789e+09,23.255, -1.66017, 3.00139
 1.67789e+09,22.7476, -1.60903, 2.9874
 1.67789e+09,22.2538, -1.56711, 3.01052
 1.67789e+09,21.7562, -1.53675, 3.03642
 1.67789e+09,21.2572, -1.51904, 3.06131
 1.67789e+09,20.7568, -1.50338, 3.08245
 1.67789e+09,20.2401, -1.4708, 3.08543
 1.67789e+09,19.7391, -1.43666, 3.09504
 1.67789e+09,19.2312, -1.38005, 3.08262
 1.67789e+09,18.7319, -1.31763, 3.05096
 1.67789e+09,18.2994, -1.2444, 3.04398
 1.67789e+09,17.7763, -1.17892, 3.05358
 1.67789e+09,17.2727, -1.13791, 3.1024
 1.67789e+09,16.7476, -1.07338, 3.08696
 1.67789e+09,16.2373, -1.03711, 3.11193
 1.67789e+09,15.7289, -0.99889, 3.08314
 1.67789e+09,15.2084, -0.970758, 3.0523
 1.67789e+09,14.7133, -0.947774, 3.0609
 1.67789e+09,14.1969, -0.913162, 3.04167
 1.67789e+09,13.7184, -0.84348, 3.02432
 1.67789e+09,13.2716, -0.724637, 2.97719
 1.67789e+09,12.8227, -0.565772, 2.96608
 1.67789e+09,12.3687, -0.43517, 2.9761
 1.67789e+09,11.8905, -0.320062, 3.00265
 1.67789e+09,11.4105, -0.233603, 3.01292
 1.67789e+09,10.8925, -0.153789, 2.98993
 1.67789e+09,10.3764, -0.126607, 3.04102
 1.67789e+09,9.85272, -0.116033, 3.07843
 1.67789e+09,9.38323, -0.117024, 0.0204575
 1.67789e+09,8.84262, -0.120462, 0.0345148
 1.67789e+09,8.36894, -0.12763, 0.0233537
 1.67789e+09,7.90953, -0.127092, 0.00171021
 1.67789e+09,7.44432, -0.139517, 3.13359
 1.67789e+09,6.9212, -0.147785, 3.11714
 1.67789e+09,6.39804, -0.164564, 3.12883
 1.67789e+09,5.9316, -0.152185, 3.1167
 1.67789e+09,5.39938, -0.13613, 3.13776
 1.67789e+09,4.87851, -0.152098, 0.028803
 1.67789e+09,4.34546, -0.165093, 0.0657817
 1.67789e+09,3.82245, -0.177826, 0.0198903
 1.67789e+09,3.34444, -0.175037, 3.11139
 1.67789e+09,2.8292, -0.192121, 3.12972
 1.67789e+09,2.31487, -0.184918, 3.11998
 1.67789e+09,1.79286, -0.191186, 3.12935
 1.67789e+09,1.2861, -0.196959, 3.10686
 1.67789e+09,0.883325, -0.185837, 3.09805
 1.67789e+09,0.413129, -0.152057, 3.07324
 1.67789e+09,-0.16251, -0.103324, 3.05167
 1.67789e+09,-0.673145, -0.0466599, 3.03861
 1.67789e+09,-1.17984, 0.000833099, 3.01589
 1.67789e+09,-1.66591, 0.0597975, 2.98797
 1.67789e+09,-2.1385, 0.146954, 2.95299
 1.67789e+09,-2.58641, 0.26736, 2.92246
 1.67789e+09,-3.05019, 0.51335, 2.76433
 1.67789e+09,-3.523, 0.906904, 2.49179
 1.67789e+09,-3.81242, 1.39036, 2.19661
 1.67789e+09,-3.94414, 1.8222, 2.01473
 1.67789e+09,-4.02616, 2.30847, 1.87024
 1.67789e+09,-4.06394, 2.80152, 1.74937
 1.67789e+09,-4.0898, 3.3178, 1.69259
 1.67789e+09,-4.07337, 3.85149, 1.64264
 1.67789e+09,-4.04805, 4.3556, 1.60431
 1.67789e+09,-3.99966, 4.8765, 1.55152
 1.67789e+09,-3.92784, 5.41341, 1.50497
 1.67789e+09,-3.89224, 5.88916, 1.51643
 1.67789e+09,-3.85664, 6.41971, 1.51722
 1.67789e+09,-3.84857, 6.93937, 1.54498
 1.67789e+09,-3.83701, 7.46273, 1.55364
 1.67789e+09,-3.8217, 7.97443, 1.54165
 1.67789e+09,-3.82076, 8.4642, 1.55023
 1.67789e+09,-3.76541, 8.95376, 1.45293
 1.67789e+09,-3.66964, 9.40719, 1.31293
 1.67789e+09,-3.43101, 9.87198, 1.12601
 1.67789e+09,-3.0221, 10.3254, 0.860642
 1.67789e+09,-2.58687, 10.6298, 0.682764
 1.67789e+09,-2.1758, 10.8362, 0.548639
 1.67789e+09,-1.73007, 10.9591, 0.395828
 1.67789e+09,-1.25296, 11.042, 0.242814
 1.67789e+09,-0.765327, 11.1219, 0.190189
 1.67789e+09,-0.271833, 11.1235, 0.150199
 1.67789e+09,0.21947, 11.1072, 0.086569
 1.67789e+09,0.717028, 11.0847, 0.0765171
 1.67789e+09,1.23291, 11.0635, 0.107691
 1.67789e+09,1.73221, 11.0404, 0.106846
 1.67789e+09,2.2282, 11.0157, 0.127147
 1.67789e+09,2.7242, 11.014, 0.107717
 1.67789e+09,3.25055, 10.9846, 0.0297135
 1.67789e+09,3.76788, 10.932, 3.13324
 1.67789e+09,4.25518, 10.8821, 3.11395
 1.67789e+09,4.74954, 10.8523, 3.09397
 1.67789e+09,5.22965, 10.817, 3.06496
 1.67789e+09,5.69005, 10.7632, 3.04299
 1.67789e+09,6.1463, 10.7172, 3.01448
 1.67789e+09,6.58162, 10.6924, 3.02189
 1.67789e+09,7.00001, 10.6339, 3.00907
 1.67789e+09,7.4579, 10.4565, 2.80069
 1.67789e+09,7.88951, 10.0486, 2.45814
 1.67789e+09,8.15837, 9.56081, 2.18532
 1.67789e+09,8.27631, 9.10886, 1.96276
 1.67789e+09,8.30537, 8.6192, 1.76431
 1.67789e+09,8.27247, 8.17781, 1.64851
 1.67789e+09,8.26728, 7.62177, 1.6986
 1.67789e+09,8.25563, 7.18647, 1.71845
 1.67789e+09,8.29339, 6.75101, 1.82392
