,stamp,x,y,qx,qy,qz,qw,var_x,var_y,var_theta
0,1677886399.141148,52.58926562615596,-3.386509168840481,0.0,0.0,0.9998653190251483,0.01641169737529782,0.2470653039554236,0.2460027313116182,0.06848905809145868
1,1677886399.541182,52.31963650038273,-3.392010444916688,0.0,0.0,0.999275426966558,0.038060754863811296,0.23541943165446355,0.15642749519745536,0.05374245275132011
2,1677886400.091234,51.8175939028238,-3.3805367514143163,0.0,0.0,0.9984525899728891,0.05560958169623022,0.1898070945408108,0.06668095801356522,0.0312592398763034
3,1677886400.541289,51.37323380349753,-3.343940485658721,0.0,0.0,0.9989403452518064,0.04602376156076224,0.17354730827855747,0.03060286020415859,0.018565783344810433
4,1677886400.941353,50.91432645001469,-3.2860010799115176,0.0,0.0,0.9989409526164648,0.04601057688955681,0.1730358538488872,0.015777876170263383,0.012073976122973768
5,1677886401.341356,50.44504397936244,-3.2699280046828414,0.0,0.0,0.9990865651469238,0.0427321347807655,0.17605860219055103,0.010249266090852416,0.008513642296354977
6,1677886401.741405,49.92300406209413,-3.252768395658508,0.0,0.0,0.9991115193558519,0.04214465435190186,0.1664509353613539,0.008954403369022756,0.006326258763449267
7,1677886402.141454,49.38766450758662,-3.232266249277836,0.0,0.0,0.9987731981231971,0.04951867032505011,0.1595605776337834,0.008641578915593584,0.004628657078128675
8,1677886402.541487,48.87555304865659,-3.2048366073555226,0.0,0.0,0.998318777041565,0.05796222395866193,0.15039275433173316,0.008592468278187937,0.0035289352851454805
9,1677886402.841524,48.48426252400246,-3.191267658137358,0.0,0.0,0.9990018051143009,0.04466982626301989,0.14838474501539167,0.008208201557168948,0.002763019111235194
10,1677886403.191551,48.037402676578175,-3.18324990360997,0.0,0.0,0.9996297077190204,0.027211163988076135,0.15915498504591596,0.007674490403916323,0.0028572548825848126
11,1677886403.491588,47.6114711618562,-3.1550419783606043,0.0,0.0,0.9992684805992905,0.03824269447600991,0.15120050260202333,0.007482752506147605,0.0025405301874179363
12,1677886403.841608,47.16013357270251,-3.110409911464388,0.0,0.0,0.9986156207847254,0.05260077874649252,0.12288795022686827,0.007297705376464236,0.002345022163322433
13,1677886404.241649,46.634668134423116,-3.0540281091394657,0.0,0.0,0.9966726765498876,0.08150813345233276,0.12326376904547942,0.006852444620943032,0.0020779352083932804
14,1677886404.64169,46.111951905760115,-2.9744227272080392,0.0,0.0,0.995114907004264,0.09872346153724125,0.12505777965861853,0.006726453529616094,0.0021103985907998985
15,1677886405.041716,45.616158624315595,-2.9310095746555302,0.0,0.0,0.9977295291149736,0.0673482496581245,0.1106723680104551,0.006548235243492684,0.0022261842633622014
16,1677886405.441742,45.11900452516987,-2.8972555012010464,0.0,0.0,0.9984792937667478,0.055128032062249865,0.08820361614448302,0.006165408079437995,0.0021818017968553783
17,1677886405.841806,44.59836335596669,-2.8627725934781325,0.0,0.0,0.9973585723356055,0.07263524068028337,0.07216531373205726,0.006422774295471001,0.0024561484454076825
18,1677886406.241832,44.102360106174096,-2.8304407730365546,0.0,0.0,0.9972035630133605,0.07473321827312504,0.05961857574197893,0.006917244122526256,0.0024170365284313785
19,1677886406.641881,43.619276743973934,-2.799319629544194,0.0,0.0,0.9980476626375957,0.06245688996125157,0.04032328175344446,0.007831316777632047,0.00259717913588678
20,1677886407.041922,43.13954874673057,-2.773063034433889,0.0,0.0,0.9969584449742354,0.0779349664435329,0.03844793313055561,0.009523801261269504,0.0025469450373468865
21,1677886407.441948,42.69879791446419,-2.721363588705717,0.0,0.0,0.9956280915705085,0.09340612011890469,0.02980193087137195,0.010430747821722264,0.0023287838609276222
22,1677886407.841997,42.27310010310031,-2.645624493906769,0.0,0.0,0.9927431625971762,0.12025395260263361,0.019930055363147403,0.012604865362217055,0.0023008186284638457
23,1677886408.292051,41.84744618261419,-2.443609620845851,0.0,0.0,0.9783228038383572,0.20708571049170751,0.011832002758865201,0.012689187161400106,0.0025738090617941777
24,1677886408.842088,41.39248266484429,-2.0476188603204917,0.0,0.0,0.9287267337401673,0.37076495794009484,0.011751378850476613,0.013612608119696112,0.0036928822316916964
25,1677886409.342119,41.054951024580745,-1.590825078454475,0.0,0.0,0.8887340780100509,0.4584230999672953,0.009482833306037719,0.013755532022969863,0.0036695095008420597
26,1677886409.792181,40.81496207433947,-1.1189568791410764,0.0,0.0,0.8617971591249589,0.5072530497928527,0.009100085180079986,0.015860374866197624,0.003715063037476091
27,1677886410.192207,40.673746192009126,-0.6813507729147509,0.0,0.0,0.8221137594242021,0.5693232531395546,0.008936150369891038,0.01593546048411465,0.003977644490300008
28,1677886410.592226,40.57992828818146,-0.1928469170241204,0.0,0.0,0.7872935672983082,0.6165783315124722,0.008814799065930856,0.017500400280184424,0.004514570419395754
29,1677886410.992274,40.55668171315588,0.27829597007456364,0.0,0.0,0.7463932242103041,0.6655051876979975,0.008927215638777852,0.0183575300133558,0.004078041936561271
30,1677886411.392293,40.5609824265517,0.7691677564669186,0.0,0.0,0.7301145038838903,0.683324821163684,0.010140360187506303,0.0176568272541745,0.00429358822678504
31,1677886411.792341,40.58392512727427,1.2628981452848838,0.0,0.0,0.7262024702054408,0.687480888656198,0.010066643248819673,0.016349429350642986,0.003905874941815391
32,1677886412.192382,40.571584901328634,1.7483524423508106,0.0,0.0,0.7367962232210175,0.6761148759251231,0.011825515202190218,0.013344789519176281,0.0034769822554492264
33,1677886412.592409,40.56667270986827,2.25021165993158,0.0,0.0,0.743247817018571,0.6690162049585412,0.009812005476305785,0.012615750813745663,0.001945218028871393
34,1677886412.992465,40.53557013099961,2.7410511286374724,0.0,0.0,0.7496578309279288,0.661825608849063,0.007836054948029414,0.012245136677002222,0.0015560930778490965
35,1677886413.492518,40.49519730704917,3.382025808671809,0.0,0.0,0.7533537293891784,0.6576155095611845,0.008030878458157531,0.012266026305875144,0.0026177750151745514
36,1677886413.892567,40.45760856262942,3.8756398040324886,0.0,0.0,0.7523729946784345,0.6587373352699878,0.007306873600100516,0.01123310173941583,0.0024195657830059034
37,1677886414.292593,40.44281790551866,4.355849407927677,0.0,0.0,0.7199097326585149,0.6940677033427975,0.007022528330480782,0.009951578410575479,0.0024280908380461203
