,stamp,x,y,qx,qy,qz,qw,var_x,var_y,var_theta
0,1677886399.419435,52.58926562615596,-3.386509168840481,0.0,0.0,0.9998653190251483,0.01641169737529782,0.2470653039554236,0.2460027313116182,0.06848905809145868
1,1677886399.722015,52.379867344884936,-3.382375643215992,0.0,0.0,0.999172577075214,0.04067138085774214,0.18524028479350818,0.14159366646456206,0.05270852912407758
2,1677886400.226309,51.86486950388211,-3.351397558422427,0.0,0.0,0.9986007482103063,0.0528823758336972,0.1525131991802482,0.08023540928733652,0.03428796457016088
3,1677886400.629749,51.423376308351536,-3.299343803923222,0.0,0.0,0.9986426571493987,0.05208496252843583,0.12022845651245007,0.042517978495723696,0.018155188463814583
4,1677886401.134042,50.65213065980965,-3.1879709905972917,0.0,0.0,0.9990784623312466,0.042921161515409034,0.10408656676054306,0.031045158290410768,0.01579336575540376
5,1677886401.840062,50.12441349887646,-3.2204781894194214,0.0,0.0,0.9991939062244444,0.04014396298244976,0.09336832282588148,0.023317125653919746,0.01070594991309274
6,1677886402.243496,48.94161584071224,-3.060222682269284,0.0,0.0,0.999490588844182,0.03191493086175299,0.10211998386830601,0.03894287338239444,0.027614687531453016
7,1677886402.949515,48.43750377023106,-3.1276249802066887,0.0,0.0,0.9997866030793562,0.020657887187267073,0.09837632982134892,0.03377737692810001,0.01619642816785722
8,1677886403.352948,47.92785577120284,-3.1339940413629335,0.0,0.0,-0.9999986334342938,0.0016532179362669865,0.09831113570407979,0.0315149713947207,0.010715432109656888
9,1677886403.756388,47.34817715447945,-3.096844757198784,0.0,0.0,0.999805182975633,0.019738188748235522,0.1047730017990034,0.028262538294505646,0.00782025790766003
10,1677886404.159822,46.77042133433407,-3.008631298192444,0.0,0.0,0.998662341315593,0.051706170212636286,0.10737456697415837,0.02292560350497297,0.0054597816102466695
11,1677886404.563262,46.3141797382378,-2.9250181561737207,0.0,0.0,0.9970665665131131,0.07653928365063191,0.1179277352302961,0.015089764788040583,0.003587862594849673
12,1677886404.966701,45.88815309406114,-2.8583655685577396,0.0,0.0,0.9982738035737501,0.05873170437164211,0.12914929943872266,0.012280529415047425,0.002852826231886972
13,1677886405.370135,45.30966296751901,-2.822191225208594,0.0,0.0,0.9992869504413224,0.03775699508279133,0.12665084149284667,0.011809796616995882,0.003139933143506707
14,1677886405.773575,44.74504951861763,-2.7714401102373207,0.0,0.0,0.9984364612447124,0.055898415515431586,0.12203129748672836,0.011144236477069747,0.0030292951150289516
15,1677886406.177009,44.211840350006334,-2.723034049976899,0.0,0.0,0.9980316203940075,0.06271271556639595,0.11347557399085417,0.011630557432557254,0.0031979618435041455
16,1677886406.580448,43.7010677990095,-2.6954783872044494,0.0,0.0,0.9988030705466278,0.048912434683096084,0.10850857999434993,0.013043683302364606,0.0031814661635387845
17,1677886406.983888,43.25108123578306,-2.670844855546244,0.0,0.0,0.998174620355046,0.060393934124709024,0.10334271301417175,0.012541049471014531,0.0028795532993010986
18,1677886407.387321,42.765819209004846,-2.6372329631593194,0.0,0.0,0.9973878758153097,0.07223174632129763,0.10733603600215247,0.013575194915782518,0.0026278215376361004
19,1677886407.790761,42.327041832656946,-2.553623965212507,0.0,0.0,0.9952626444205596,0.09722277830320836,0.10296828593527607,0.015568145122188959,0.0027400318992885854
20,1677886408.194195,41.87728454129847,-2.399817230218517,0.0,0.0,0.9873456897563037,0.15858275101551567,0.08350181137984691,0.016123236301882393,0.0030158322673553895
21,1677886408.799354,41.435482290496054,-1.9623081369229118,0.0,0.0,0.9427797036019006,0.33341630205542216,0.07091991590823454,0.020985131848213268,0.0076738407110214105
22,1677886409.404508,40.9994272783089,-1.4659088046526336,0.0,0.0,0.8947609979312288,0.44654535780938487,0.05925316116463364,0.02247034495563005,0.006979501348132249
23,1677886409.908808,40.73146244647048,-0.9642033773928004,0.0,0.0,0.85655455341186,0.5160564862778193,0.0412469628472536,0.021436458013314508,0.005860765779062892
24,1677886410.312241,40.62741139476221,-0.4897911346810411,0.0,0.0,0.820954868057823,0.5709930863085492,0.03241022640668234,0.018802937223247107,0.0058127220815754705
25,1677886410.715681,40.57757059214613,0.0014388545320774178,0.0,0.0,0.7827752791139007,0.6223044772522169,0.024775291005653344,0.018419255568642087,0.005756766744867225
26,1677886411.119114,40.56059555582129,0.4832314752321322,0.0,0.0,0.748053129679763,0.6636388439326857,0.018581679690441888,0.017473576442560562,0.005246494929059506
27,1677886411.522554,40.58351490238509,1.0069682478954964,0.0,0.0,0.7351151907057978,0.6779422220171706,0.01719060212826662,0.015703599784963718,0.005102988520408857
28,1677886411.925994,40.59584839276439,1.518553314677632,0.0,0.0,0.7376634137721745,0.6751686366989966,0.017123129267702097,0.01453208811413198,0.004622198840822783
29,1677886412.329427,40.602117561718615,2.019872038550574,0.0,0.0,0.7458887379989774,0.6660705597204346,0.016959539657136702,0.014271260781028694,0.004550792409726046
30,1677886412.732867,40.59075739752263,2.5024225561472435,0.0,0.0,0.7527767741493797,0.6582758755273155,0.017245599206944462,0.013136978622072526,0.004372210903097587
31,1677886413.136301,40.56170869140292,2.9844489685467535,0.0,0.0,0.7596750428787686,0.6503028749952909,0.02080559838896079,0.013229496586268041,0.0049731652271685686
32,1677886413.539741,40.52347419152595,3.4744383312035305,0.0,0.0,0.7633992371444435,0.6459269345113903,0.02480786176147376,0.014264652547582912,0.004743230327053269
33,1677886413.94318,40.47323054183119,3.908548285897565,0.0,0.0,0.7619084278367559,0.6476847594249249,0.02466654160048165,0.014383188348050524,0.004368652718689259
34,1677886414.346614,40.433694507487694,4.376315966145925,0.0,0.0,0.7291525167004568,0.6843512310132788,0.026948574605285103,0.01441184886705571,0.004212644210484091
35,1677886414.750054,40.42749350603761,4.857094884638996,0.0,0.0,0.695283660972459,0.718735438659271,0.02596947645201908,0.014447835168013512,0.004019800900204176
36,1677886415.153487,40.48762561176972,5.304697340588226,0.0,0.0,0.6598649766195548,0.7513841977516391,0.026450640451002982,0.017021991006380688,0.004066677270473913
37,1677886415.556926,40.645327558201416,5.797519206602409,0.0,0.0,0.5929732859164127,0.8052221322029669,0.024134531253139357,0.019566965492032296,0.0035048004439617764
38,1677886416.06122,40.86053923711944,6.370645937150305,0.0,0.0,0.5048577505464295,0.8632025554371345,0.01765263016636709,0.020572929123510164,0.004875035052019935
39,1677886416.46466,41.18611802959552,6.834657614710967,0.0,0.0,0.44394167277300844,0.8960556853095142,0.016236050133102253,0.02050749064414248,0.004876694380672526
40,1677886417.069814,41.71413925585722,7.355660076312741,0.0,0.0,0.37404619259401667,0.9274100742421983,0.018284552082150185,0.020090604011805624,0.0061773355820077735
41,1677886417.674973,42.345751384219874,7.668733122380036,0.0,0.0,0.25650914222986293,0.9665418045550331,0.020994070574488433,0.01871257617316502,0.007562935030381923
42,1677886418.078407,42.837619565466746,7.793001535403442,0.0,0.0,0.1891266879874587,0.9819526953427514,0.021948903126030928,0.016577844128086383,0.007249960995622723
43,1677886418.481847,43.31059917707561,7.859242791480983,0.0,0.0,0.1312979574715433,0.9913429509326229,0.02237730749629918,0.014197649275480728,0.006775120874059024
44,1677886418.885287,43.79409074754619,7.917775770685242,0.0,0.0,0.12234613051740025,0.9924874932952149,0.01987344251460854,0.0132544827334371,0.006325147657305783
