stamp, x, y, theta
 1.67789e+09,39.4639, -2.8571, 0.0407414
 1.67789e+09,38.9585, -2.82363, 0.0443588
 1.67789e+09,38.4188, -2.78404, 3.11026
 1.67789e+09,37.8837, -2.71952, 3.10662
 1.67789e+09,37.3477, -2.66188, 3.11581
 1.67789e+09,36.8348, -2.63968, 3.11485
 1.67789e+09,36.3102, -2.59834, 3.09356
 1.67789e+09,35.8252, -2.58959, 3.07863
 1.67789e+09,35.3538, -2.64778, 3.02909
 1.67789e+09,34.8422, -2.41496, 3.06228
 1.67789e+09,34.3578, -2.47122, 3.08136
 1.67789e+09,33.884, -2.48087, 3.12332
 1.67789e+09,33.3346, -2.4973, 3.12872
 1.67789e+09,32.7678, -2.47495, 3.11682
 1.67789e+09,32.1678, -2.39942, 3.10969
 1.67789e+09,31.7131, -2.35515, 3.10255
 1.67789e+09,31.0927, -2.33178, 3.12393
 1.67789e+09,30.5824, -2.32243, 3.13087
 1.67789e+09,30.0748, -2.34584, 3.07704
 1.67789e+09,29.4579, -2.16638, 3.10111
 1.67789e+09,28.9883, -2.19376, 3.11368
 1.67789e+09,28.4828, -2.15368, 3.11087
 1.67789e+09,27.9835, -2.09697, 3.07813
 1.67789e+09,27.487, -2.04664, 3.08325
 1.67789e+09,26.9761, -2.02718, 3.11307
 1.67789e+09,26.4457, -1.98392, 3.11317
 1.67789e+09,25.9235, -1.94481, 3.09347
 1.67789e+09,25.4201, -1.88888, 3.09907
 1.67789e+09,24.9034, -1.846, 0.00419825
 1.67789e+09,24.3758, -1.81785, 3.13982
 1.67789e+09,23.8812, -1.76882, 3.07274
 1.67789e+09,23.3587, -1.71521, 3.05201
 1.67789e+09,22.8332, -1.65677, 3.03293
 1.67789e+09,22.3183, -1.57551, 3.03892
 1.67789e+09,21.8073, -1.51107, 3.04536
 1.67789e+09,21.307, -1.49045, 3.06873
 1.67789e+09,20.7895, -1.44113, 3.08799
 1.67789e+09,20.2546, -1.42968, 3.0986
 1.67789e+09,19.74, -1.3777, 3.10967
 1.67789e+09,19.2374, -1.32768, 3.09676
 1.67789e+09,18.7338, -1.27159, 3.06781
 1.67789e+09,18.2309, -1.17475, 3.06461
 1.67789e+09,17.7219, -1.09063, 3.07488
 1.67789e+09,17.2281, -1.03133, 3.10142
 1.67789e+09,16.746, -0.981238, 3.10427
 1.67789e+09,16.1913, -0.937733, 3.12221
 1.67789e+09,15.6839, -0.859734, 3.08345
 1.67789e+09,15.1483, -0.810549, 3.05032
 1.67789e+09,14.6311, -0.785967, 3.05254
 1.67789e+09,14.1001, -0.723983, 3.04121
 1.67789e+09,13.6558, -0.642519, 3.02656
 1.67789e+09,13.2046, -0.514263, 2.96468
 1.67789e+09,12.6635, -0.368116, 2.99443
 1.67789e+09,12.2038, -0.273829, 3.02863
 1.67789e+09,11.7276, -0.204738, 3.05252
 1.67789e+09,11.2156, -0.139433, 3.02939
 1.67789e+09,10.7013, -0.0960318, 3.0688
 1.67789e+09,10.146, -0.0932608, 3.07341
 1.67789e+09,9.60953, -0.0644768, 0.0384384
 1.67789e+09,9.11915, -0.0821526, 0.0553325
 1.67789e+09,8.61153, -0.0977951, 0.064924
 1.67789e+09,8.04176, -0.0949181, 0.038105
 1.67789e+09,7.50856, -0.103847, 0.0119945
 1.67789e+09,6.96551, -0.0982184, 0.00385427
 1.67789e+09,6.44515, -0.101759, 0.0127549
 1.67789e+09,5.92008, -0.113575, 0.0183276
 1.67789e+09,5.3965, -0.0927648, 0.03435
 1.67789e+09,4.83017, -0.100658, 0.0714241
 1.67789e+09,4.31176, -0.112956, 0.0915355
 1.67789e+09,3.7864, -0.143375, 0.032702
 1.67789e+09,3.24762, -0.152167, 0.0242368
 1.67789e+09,2.66666, -0.143508, 0.0192625
 1.67789e+09,2.15986, -0.153964, 0.0227178
 1.67789e+09,1.63571, -0.151611, 0.0131597
 1.67789e+09,1.05093, -0.17321, 3.1279
